-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,pf,hf,H/B,fc,Fyl,Fyv,ALr,AH,Av,S,Sc,DS
2.144267927,2.126066083,2.103822084,2.07603417,2.040370157,1.993025043,1.927427019,1.831680758,1.687007199,1.50927847,1.410924282,1.379343465,1.36386337,1.349959758,1.335911825,1.321848635,1.308223216,1.295449308,1.283785733,1.273329755,1.264059953,0.004726353,1.000579762,4,18.62,352.8,308.99,0.33,1.92,2.58,6.5,6.5,0
2.160935465,2.140831279,2.116217613,2.085408163,2.04579153,1.99315929,1.920492051,1.816033953,1.662867865,1.471170244,1.359781297,1.323859949,1.30302065,1.284435897,1.266190675,1.248444404,1.231890447,1.217019613,1.203965034,1.192623051,1.182794954,0.003611343,1.000420494,4,18.62,352.8,328.1,0.33,1.92,1.22,6.2,6.2,0
2.185016276,2.1662885,2.143410116,2.114833426,2.078151048,2.029443675,1.96204604,1.864591855,1.722450657,1.554631216,1.458820797,1.415492188,1.39198571,1.374004246,1.357877611,1.342727146,1.328659831,1.315936997,1.304681604,1.294854855,1.286320845,0.004961685,1.000706985,4,18.62,347.21,328.1,0,2.76,1.22,5.3,5.3,0
1.926430552,1.911178272,1.892552811,1.869308457,1.83951308,1.800019759,1.745427833,1.666273875,1.550527324,1.43635887,1.447421482,1.418719811,1.390172236,1.365009704,1.340840296,1.317628742,1.296331506,1.277579168,1.26142926,1.247639567,1.235881787,0.004865462,1.000688206,4,18.62,347.21,360.25,0,2.76,0.56,4.6,4.6,0
2.268306764,2.249624476,2.226834862,2.198436557,2.162114142,2.114122359,2.048065056,1.952525912,1.809052765,1.619308459,1.491273797,1.442129142,1.414776688,1.391626246,1.369800872,1.349246251,1.330455161,1.313713332,1.299023507,1.286222691,1.275087178,0.005789278,1.000750795,4,18.62,347.21,308.99,0.33,2.76,2.58,4.4,4.4,0
0.985654621,0.977720247,0.967996746,0.955797869,0.940035329,0.918885097,0.889098502,0.844611808,0.775186174,0.682070107,0.617719734,0.592503574,0.581839887,0.576002098,0.572367912,0.56983408,0.567884296,0.566263981,0.564846374,0.563567946,0.562395974,0.001725827,1.000255604,2,26.46,374.36,334.18,0.19,0.91,1.24,3.33,3.33,0
0.734191945,0.728332914,0.721178423,0.712250973,0.700812906,0.685674511,0.664841441,0.635019534,0.592932298,0.553746775,0.551440194,0.550702229,0.547179657,0.544425079,0.542324077,0.540565169,0.538987787,0.537518068,0.536123668,0.53479224,0.533520866,0.001435489,1.000214662,2,26.46,374.36,349.86,0.19,0.91,1.51,4.17,4.17,0
1.900493206,1.884943037,1.865972393,1.842326755,1.812061588,1.772001973,1.716635257,1.635862564,1.513075941,1.354670749,1.26366854,1.239799559,1.225370274,1.211730382,1.19877504,1.186608686,1.175408109,1.165259008,1.156125162,1.147913471,1.14052777,0.004669958,1.000634121,2,26.46,381.22,334.18,0.1,1.63,1.24,4.55,4.55,0
1.922507836,1.905732938,1.885255824,1.859706896,1.826964713,1.783596411,1.723816139,1.637878188,1.513769942,1.370371144,1.282146074,1.246116702,1.226709797,1.210744518,1.196256655,1.183072739,1.171277993,1.160897099,1.151856671,1.144018459,1.137220303,0.004031502,1.000726905,2,26.46,381.22,349.86,0.1,1.63,1.51,5.56,5.56,0
1.49924502,1.485381021,1.468428316,1.447231532,1.420004351,1.383902826,1.334366805,1.264430241,1.165772524,1.051964967,0.992729774,0.978742167,0.974783089,0.972035798,0.969047434,0.965658887,0.962022791,0.958333833,0.954747543,0.951363248,0.948231111,0.001282155,1.000135413,4,31.56,374.36,365.54,0.16,0.91,0.54,6.25,6.25,0
1.536067133,1.52087359,1.502388079,1.479446971,1.450296833,1.412226746,1.361048447,1.290859829,1.197735577,1.108001051,1.065253329,1.048637338,1.041385737,1.037627226,1.035440182,1.034000207,1.032945299,1.032105439,1.031395253,1.030768871,1.030199958,0.001643021,1.000170915,4,31.56,374.36,375.83,0.16,0.91,0.66,7.69,7.69,0
1.996098292,1.977528568,1.954981297,1.927048911,1.891566688,1.845022153,1.78136679,1.689775135,1.55325481,1.380008162,1.287932551,1.265005024,1.25722115,1.252639753,1.248758787,1.244843394,1.240729797,1.236438751,1.232038955,1.22760614,1.223212285,0.002796438,1.000301823,4,31.56,381.22,386.12,0.08,1.63,0.24,3.7,3.7,0
1.630591279,1.614631237,1.595336253,1.571577477,1.541636807,1.502740947,1.450110119,1.375059318,1.26405079,1.13000866,1.058669751,1.039775925,1.0338619,1.030985065,1.029166431,1.027786215,1.026595669,1.025478831,1.024379313,1.023270455,1.022141187,0.001556291,1.000166364,4,31.56,381.22,386.12,0.08,1.63,0.36,5.56,5.56,0
2.218124739,2.197020326,2.171203447,2.138929763,2.097503703,2.042553231,1.966555899,1.855774419,1.686732723,1.46484296,1.336297983,1.298158006,1.280416875,1.265704099,1.250752653,1.234992497,1.218965265,1.203572318,1.189537301,1.177196406,1.166563341,0.003299189,1.000362742,4,31.56,344.96,334.18,0.16,2.55,1.24,4.17,4.17,0
1.924716147,1.905065379,1.881025205,1.850956236,1.812293617,1.760801457,1.689054046,1.583659422,1.427423199,1.261305414,1.19736135,1.18893298,1.189373333,1.189398349,1.187720102,1.184548274,1.180273422,1.175259067,1.169822259,1.164229215,1.158688808,0.0023563,1.000252648,4,31.56,344.96,349.86,0.16,2.55,1.51,5,5,0
1.870067948,1.853153313,1.832554498,1.806951287,1.774330925,1.731497536,1.673152521,1.590205912,1.468168248,1.30612307,1.194751258,1.147726739,1.118970271,1.095071501,1.073610105,1.05437588,1.037656162,1.023492395,1.011635698,1.001717338,0.993373872,0.003103442,1.00034738,3,18.91,356.23,311.93,0.27,1.22,2.56,4.69,4.69,0
